hosts,vms,cloudlets,pso_time,pso_fitness,pso_cpu_util,pso_ram_util,pso_bw_util,pso_power,pso_cpu_mean,pso_cpu_std
100,50,100,2.56,1.310885,49329.62,3.47,3.50,35.63,4.17,6.76
100,50,100,2.64,1.274078,46774.11,4.35,4.38,35.64,4.26,7.00
100,50,100,2.97,1.281609,46788.81,4.36,4.40,35.55,3.65,7.55
100,50,100,3.23,1.288705,41002.94,3.16,3.19,35.65,4.36,7.06
100,50,100,2.66,1.291580,46426.78,3.40,3.42,35.81,5.37,7.17
100,50,100,3.01,1.294190,43066.73,3.21,3.24,35.59,3.92,7.73
100,50,100,2.84,1.271396,44002.52,4.25,4.27,35.57,3.77,7.80
100,50,100,2.38,1.308006,51553.52,3.56,3.58,35.86,5.75,7.88
100,50,100,3.27,1.303299,39243.88,3.09,3.11,35.43,2.85,6.45
100,50,100,3.07,1.295555,42512.10,3.21,3.23,35.55,3.69,7.56
100,50,100,4.19,1.283858,32553.97,2.83,2.85,35.53,3.56,5.15
100,50,100,2.95,1.304389,42840.20,3.22,3.25,35.59,3.96,8.12
100,50,100,3.15,1.304709,42486.60,3.21,3.24,35.39,2.62,6.32
100,50,100,2.53,1.277612,48426.27,4.44,4.46,35.88,5.87,7.34
100,50,100,2.52,1.277622,48446.85,4.41,4.44,35.71,4.75,8.86
100,50,100,2.84,1.322956,44348.31,2.32,2.34,35.89,5.94,5.73
100,50,100,2.72,1.315951,45840.93,2.37,2.39,35.70,4.67,8.44
100,50,100,3.46,1.281139,42564.57,4.18,4.20,35.46,3.06,6.99
100,50,100,3.37,1.299972,38718.61,3.03,3.06,35.41,2.73,5.90
100,50,100,3.16,1.289427,40630.94,3.15,3.18,35.50,3.33,6.93
100,50,100,2.42,1.280164,50399.36,4.52,4.55,35.89,5.91,7.33
100,50,100,3.29,1.267961,39664.22,4.05,4.07,35.52,3.44,7.27
100,50,100,2.29,1.280500,53180.75,4.59,4.61,35.82,5.46,8.44
100,50,100,3.11,1.299240,44615.39,3.32,3.35,35.59,3.95,7.67
100,50,100,2.19,1.284354,55272.61,4.67,4.70,35.78,5.23,8.40
100,50,100,2.63,1.279775,47030.56,4.37,4.39,35.58,3.85,7.29
100,50,100,2.91,1.304182,43688.00,3.25,3.28,35.55,3.66,7.55
100,50,100,3.16,1.272142,45602.61,4.28,4.30,35.52,3.50,7.94
100,50,100,3.37,1.323081,42915.40,2.27,2.30,35.49,3.24,6.56
100,50,100,3.68,1.298331,36513.63,2.99,3.01,35.56,3.74,5.23
100,50,100,3.41,1.278044,44048.72,4.22,4.24,35.46,3.07,7.10
100,50,100,2.61,1.279813,47214.52,4.35,4.38,35.47,3.12,7.26
100,50,100,3.29,1.329989,40339.35,2.19,2.22,35.46,3.04,6.30
100,50,100,2.91,1.252396,44497.25,5.23,5.25,35.50,3.32,7.88
100,50,100,2.87,1.297175,44365.34,3.28,3.31,35.78,5.21,7.05
100,50,100,2.90,1.301491,43431.41,3.26,3.28,35.50,3.34,6.91
100,50,100,3.08,1.309721,45781.86,3.30,3.33,35.45,2.99,7.21
100,50,100,2.51,1.275954,49013.19,4.42,4.45,35.71,4.77,7.74
100,50,100,3.08,1.282502,45095.50,4.29,4.32,35.49,3.27,7.20
100,50,100,2.50,1.299684,49558.23,3.48,3.51,35.74,4.95,8.44
100,50,100,2.73,1.320170,45603.57,2.38,2.41,35.72,4.79,7.80
100,50,100,3.17,1.292939,40015.41,3.09,3.11,35.50,3.36,6.70
100,50,100,2.96,1.291554,42188.27,3.21,3.24,35.54,3.61,8.43
100,50,100,2.60,1.284258,47678.44,4.34,4.37,35.57,3.82,8.23
100,50,100,2.85,1.305940,44396.48,3.25,3.28,35.43,2.90,7.12
100,50,100,3.21,1.276195,42501.93,4.17,4.19,35.47,3.12,6.99
100,50,100,3.37,1.265049,38517.70,4.00,4.03,35.45,3.03,6.56
100,50,100,2.51,1.297190,48827.38,3.47,3.50,35.74,4.92,8.52
100,50,100,2.50,1.280931,49074.96,4.40,4.43,35.66,4.38,7.62
100,50,100,3.25,1.256933,45114.07,5.27,5.29,35.41,2.76,7.18
100,50,100,2.30,1.296598,52665.50,3.64,3.67,35.82,5.45,9.54
100,50,100,3.46,1.303858,37290.76,2.07,2.10,35.63,4.20,7.09
100,50,100,2.75,1.327951,48388.48,2.43,2.46,35.57,3.83,8.47
100,50,100,3.26,1.272803,42719.13,4.15,4.18,35.47,3.14,6.53
100,50,100,3.08,1.282790,40775.00,3.19,3.21,35.57,3.79,7.91
100,50,100,2.63,1.308331,48153.50,3.45,3.47,35.58,3.84,8.05
100,50,100,2.84,1.271408,43708.52,4.24,4.26,35.66,4.38,6.68
100,50,100,2.74,1.297643,45368.25,3.35,3.38,35.59,3.95,8.04
100,50,100,3.41,1.274445,38332.85,4.03,4.06,35.43,2.84,7.10
100,50,100,3.08,1.266044,42228.77,4.15,4.18,35.54,3.60,7.58
100,50,100,2.58,1.274711,48929.23,4.44,4.46,35.71,4.76,7.80
100,50,100,2.88,1.274286,44495.55,4.22,4.25,35.50,3.36,7.91
100,50,100,2.59,1.310322,49418.38,3.48,3.50,35.61,4.08,7.40
100,50,100,2.62,1.283020,47226.11,4.34,4.36,35.61,4.10,7.19
100,50,100,2.06,1.286979,58555.00,4.78,4.81,35.72,4.81,8.78
100,50,100,3.41,1.302242,42251.30,3.20,3.22,35.40,2.70,6.78
100,50,100,3.24,1.272944,42457.10,4.16,4.18,35.51,3.38,6.90
100,50,100,2.95,1.241708,42183.70,5.12,5.15,35.56,3.71,7.88
100,50,100,2.89,1.258178,43441.03,4.22,4.25,35.71,4.72,7.42
100,50,100,2.56,1.265919,49546.08,5.38,5.40,35.52,3.47,7.39
100,50,100,2.74,1.228790,45485.61,6.21,6.24,35.67,4.49,7.08
100,50,100,3.08,1.282455,41281.16,3.17,3.20,35.62,4.12,8.23
100,50,100,2.52,1.267937,49045.12,4.42,4.45,36.15,7.67,6.48
100,50,100,2.52,1.246428,48280.46,5.38,5.41,36.00,6.67,8.86
100,50,100,2.42,1.258394,49896.40,5.45,5.47,35.69,4.63,8.55
100,50,100,3.05,1.249921,44778.07,5.26,5.28,35.50,3.33,6.97
100,50,100,3.79,1.305805,40571.47,3.09,3.12,35.48,3.20,6.93
100,50,100,2.67,1.306671,46914.96,3.40,3.43,35.60,4.01,6.85
100,50,100,3.00,1.300261,44579.72,3.28,3.31,35.45,3.00,8.06
100,50,100,2.64,1.303564,46503.56,3.40,3.43,35.62,4.16,7.20
100,50,100,3.40,1.293127,37399.65,2.98,3.01,35.44,2.91,6.02
100,50,100,3.13,1.296549,42149.07,3.21,3.24,35.46,3.05,6.71
100,50,100,2.90,1.319431,44287.10,2.31,2.33,35.52,3.49,8.14
100,50,100,2.42,1.304893,50780.36,3.54,3.57,35.84,5.58,8.84
100,50,100,2.19,1.321924,55315.04,3.72,3.75,35.57,3.79,8.60
100,50,100,2.64,1.297038,47872.67,3.39,3.42,35.78,5.18,7.74
100,50,100,3.41,1.309923,43025.86,3.24,3.27,35.35,2.35,6.19
100,50,100,2.94,1.308466,43270.38,3.25,3.28,35.38,2.55,6.78
100,50,100,2.94,1.303033,43112.20,3.21,3.23,35.48,3.23,7.27
100,50,100,2.40,1.311002,51111.88,3.55,3.58,35.67,4.44,6.82
100,50,100,2.63,1.306886,47045.19,3.40,3.43,35.66,4.41,7.80
100,50,100,2.91,1.304210,43721.34,3.26,3.28,35.48,3.17,7.79
100,50,100,2.75,1.325285,45292.54,2.36,2.38,35.56,3.74,7.13
100,50,100,2.91,1.308942,44970.36,3.33,3.36,35.51,3.41,7.47
100,50,100,2.52,1.324553,48813.96,2.53,2.55,35.69,4.58,8.83
100,50,100,2.99,1.307304,43683.83,3.21,3.24,35.51,3.41,7.96
