hosts,vms,cloudlets,ga_time,csa_time,fwa_time,woa_time,ga_fitness,csa_fitness,fwa_fitness,woa_fitness,ga_cpu_util,csa_cpu_util,fwa_cpu_util,woa_cpu_util,ga_ram_util,csa_ram_util,fwa_ram_util,woa_ram_util,ga_bw_util,csa_bw_util,fwa_bw_util,woa_bw_util,ga_power,csa_power,fwa_power,woa_power,ga_cpu_mean,csa_cpu_mean,fwa_cpu_mean,woa_cpu_mean,ga_cpu_std,csa_cpu_std,fwa_cpu_std,woa_cpu_std
65,8,24,72.75,274.78,241.49,68.83,11.057214,11.114389,11.111350,11.050005,12049.64,4655.89,5494.79,11282.28,3.52,6.87,6.00,2.65,3.53,6.87,6.00,2.66,20.41,18.59,18.71,20.02,38.79,14.52,16.16,33.55,21.56,3.60,7.43,20.86
65,8,24,47.33,225.30,217.15,48.36,14.307521,14.385305,14.384003,14.318316,14461.33,5377.55,5619.46,13585.93,2.58,7.74,6.89,3.50,2.59,7.74,6.88,3.51,20.20,18.13,18.16,19.59,37.51,12.50,12.94,32.20,27.52,0.00,1.29,21.05
65,8,24,107.71,229.17,244.92,98.34,9.279007,9.291578,9.291912,7.818971,10215.01,6605.40,6583.60,11576.16,2.77,6.98,6.90,1.64,2.78,6.99,6.91,1.65,20.87,19.96,19.98,21.18,29.27,16.42,16.51,38.18,21.10,5.79,5.83,32.02
65,8,24,72.16,407.81,405.27,56.89,10.572488,10.614915,10.614233,10.360013,9064.64,3043.34,3417.22,11324.72,3.68,6.03,6.03,2.65,3.67,6.03,6.03,2.65,15.01,14.17,14.23,15.62,31.42,13.93,14.69,42.38,21.03,3.16,5.54,33.11
65,8,15,0.77,0.99,0.55,0.77,5.700713,5.700713,5.700713,5.700713,9000.00,7000.00,12600.00,9000.00,1.26,1.01,1.71,1.26,1.27,1.02,1.72,1.27,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.77,0.77,0.55,0.77,5.700713,5.700713,5.700713,5.700713,9000.00,9000.00,12600.00,9000.00,1.26,1.26,1.71,1.26,1.27,1.27,1.72,1.27,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.77,0.99,0.55,0.77,5.700713,5.700713,5.700713,5.700713,9000.00,7000.00,12600.00,9000.00,1.26,1.01,1.71,1.26,1.27,1.02,1.72,1.27,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.78,0.78,0.78,0.78,8.750000,Infinity,Infinity,Infinity,6428.57,9000.00,9000.00,9000.00,2.12,4.11,4.11,4.11,2.13,4.12,4.12,4.12,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.78,0.78,0.78,0.78,8.750000,Infinity,Infinity,Infinity,6428.57,9000.00,9000.00,9000.00,2.12,4.11,4.11,4.11,2.13,4.12,4.12,4.12,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.78,0.78,0.78,0.78,8.750000,Infinity,Infinity,8.750000,6428.57,9000.00,9000.00,6428.57,2.12,4.11,4.11,2.12,2.13,4.12,4.12,2.13,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,8,15,0.55,0.55,0.55,0.55,0.125000,0.125000,0.125000,0.125000,12600.00,12600.00,12600.00,12600.00,1.71,1.71,1.71,1.71,1.72,1.72,1.72,1.72,17.50,17.50,17.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
