hosts,vms,cloudlets,wgoa_time,wgoa_fitness,wgoa_cpu_util,wgoa_ram_util,wgoa_bw_util,wgoa_power,wgoa_cpu_mean,wgoa_cpu_std
100,50,100,2.65,1.337400,46767.63,2.43,2.46,35.53,3.51,7.52
100,50,100,2.30,1.340783,51987.13,2.66,2.69,35.64,4.24,8.29
100,50,100,2.64,1.341680,47662.63,2.43,2.46,35.44,2.94,7.09
100,50,100,2.94,1.343002,42940.00,2.29,2.31,35.40,2.65,6.16
100,50,100,2.58,1.347961,49304.73,2.51,2.54,35.46,3.07,7.06
100,50,100,3.05,1.343570,46166.64,2.37,2.40,35.43,2.86,6.54
