hosts,vms,cloudlets,enc_time,enc_fitness,enc_cpu_util,enc_ram_util,enc_bw_util,enc_power,enc_cpu_mean,enc_cpu_std
100,50,100,6.98,0.975012,62963.72,1.54,1.56,36.03,6.89,14.72
100,50,100,7.08,1.001646,55354.61,1.52,1.54,35.8,5.35,13.31
100,50,100,7.16,1.019664,59375.77,1.65,1.67,35.92,6.12,14.1
100,50,100,7.31,0.970799,50555.68,1.39,1.41,35.91,6.05,12.54
100,50,100,7.32,0.959549,58166.1,1.48,1.48,35.91,6.05,13.79
100,50,100,7.47,1.033242,47718.54,1.46,1.49,35.72,4.83,11.99
100,50,100,7.54,0.981794,65572.96,1.64,1.66,35.99,6.61,15.05
100,50,100,7.77,1.00644,45563.52,1.37,1.38,35.68,4.55,11.36
100,50,100,7.77,1.038234,52440.41,1.61,1.63,35.81,5.39,12.78
100,50,100,7.93,0.971189,50137.93,1.46,1.46,35.91,6.09,13.66
100,50,80,6.84,1.228536,44601.22,1.52,1.54,35.71,4.75,11.48
100,50,80,6.88,1.238275,39889.02,1.43,1.45,35.71,4.71,10.41
100,50,80,6.95,1.277941,47824.81,1.58,1.59,35.73,4.87,10.97
100,50,80,7.2,1.207974,42504.32,1.36,1.4,35.69,4.61,10.52
100,50,80,7.22,1.204467,39833.18,1.41,1.42,35.71,4.73,10.55
100,50,80,7.23,1.224121,39805.51,1.4,1.41,35.61,4.08,10.56
100,50,80,7.45,1.337674,36904.2,1.48,1.52,35.55,3.68,9.35
100,50,80,7.52,1.243585,46008.45,1.49,1.52,35.67,4.49,10.7
100,50,80,7.53,1.158784,44848.41,1.45,1.47,35.83,5.51,12.12
100,50,80,7.59,1.232621,41866.05,1.38,1.42,35.69,4.63,10.18
100,50,60,7.12,1.586029,31484.64,1.32,1.35,35.55,3.67,8.16
100,50,60,7.22,1.569662,32990.3,1.39,1.41,35.58,3.87,8.78
100,50,60,7.27,1.527387,36720.24,1.46,1.47,35.62,4.15,9.36
100,50,60,7.35,1.569941,29696.02,1.38,1.4,35.59,3.94,8.52
100,50,60,7.36,1.66467,31682.04,1.49,1.51,35.58,3.85,8.17
100,50,60,7.37,1.50671,32661.02,1.39,1.4,35.65,4.36,9.17
100,50,60,7.54,1.538883,32646.85,1.44,1.46,35.6,3.97,9.03
100,50,60,7.58,1.554603,31032.46,1.45,1.48,35.68,4.56,8.78
100,50,60,7.63,1.596899,29114.33,1.35,1.36,35.54,3.58,7.94
100,50,60,7.79,1.506933,34555.25,1.44,1.45,35.66,4.41,9.29
