hosts,vms,cloudlets,ga_time,csa_time,ga_fitness,csa_fitness,ga_cpu_util,csa_cpu_util,ga_ram_util,csa_ram_util,ga_bw_util,csa_bw_util,ga_power,csa_power,ga_cpu_mean,csa_cpu_mean,ga_cpu_std,csa_cpu_std
65,100,50,73.25,62.48,4.91,5.22,37230.31,34866.50,65.296953,64.406734,65.307757,64.426141,11.962305,12.047759,8.68,9.66,11.19,12.59
65,100,65,69.67,72.73,4.41,4.61,43953.52,47244.17,60.207445,57.641685,60.237153,57.663244,11.497165,11.310949,12.14,10.47,16.11,15.09
65,100,65,75.12,64.25,5.06,4.03,44828.75,43626.52,62.078620,57.370885,62.101870,57.391694,12.768280,12.775322,10.27,10.14,13.63,13.55
65,100,65,68.45,51.61,3.83,4.70,48764.75,51285.58,63.040820,55.559627,63.067684,55.584929,12.733079,12.755562,9.51,9.65,12.71,13.83
65,100,65,63.51,68.81,5.48,3.84,50979.35,49394.00,58.250477,64.011852,58.277297,64.035706,13.451718,13.456872,9.17,9.42,12.96,12.29
65,100,65,78.01,70.84,3.50,4.23,41652.89,45292.43,58.302670,62.031567,58.316340,62.055196,12.344514,12.311124,9.04,8.62,12.14,11.52
65,100,65,76.75,75.66,3.88,5.03,43336.13,41144.28,61.080161,58.213211,61.099368,58.238044,12.751166,12.717852,9.53,9.26,13.25,13.18
65,100,65,59.48,70.24,3.85,3.82,38163.10,40138.78,54.568913,55.610042,54.585349,55.624756,12.305815,12.330204,8.54,8.66,13.83,13.38
65,100,65,67.98,62.32,3.82,4.00,42637.85,43244.38,58.219695,57.435886,58.241421,57.461713,11.634473,11.621336,9.57,8.87,12.90,13.46
65,100,65,57.76,61.13,4.77,4.42,46824.84,49787.81,55.490217,59.398491,55.516744,59.413528,13.436721,13.476984,8.78,9.67,13.37,12.97
65,100,65,67.85,62.83,4.68,4.36,45883.91,47648.78,59.196937,54.581162,59.211245,54.595528,12.778715,12.727808,10.44,8.58,14.26,12.61
65,100,80,62.27,79.41,3.10,3.59,57182.98,57559.48,53.281165,52.367504,53.308471,52.390723,13.561695,13.486152,12.76,9.88,15.89,14.87
65,100,80,75.30,84.29,3.08,3.70,49133.62,46306.40,48.631826,50.508078,48.661520,50.544455,10.606122,10.585496,11.00,11.19,15.78,16.25
65,100,80,91.73,82.13,3.48,3.30,55116.44,48278.86,52.306257,57.007578,52.320814,57.020966,13.130332,13.100347,11.22,10.41,16.67,15.18
65,100,80,92.25,78.00,3.06,3.58,47175.63,53323.36,59.897211,51.253484,59.929567,51.279409,12.465263,12.541686,11.07,11.52,14.86,15.82
65,100,80,78.80,68.21,3.21,3.46,53622.63,58227.38,52.233270,56.196606,52.264190,56.230385,12.932571,12.895207,13.55,11.61,16.87,15.41
65,100,80,96.10,86.03,3.94,3.99,59244.26,56826.19,55.073604,55.980211,55.090198,56.010537,13.568236,13.514975,11.74,10.22,15.36,14.86
65,100,80,66.64,80.54,3.05,4.04,47011.81,53038.29,56.887981,54.187447,56.909448,54.214554,11.277443,11.309317,9.19,9.84,13.23,14.89
65,100,80,70.51,75.06,2.94,3.65,51178.88,52716.75,52.441766,52.406092,52.461408,52.427587,12.877957,12.765222,11.65,11.24,16.37,15.78
65,100,80,75.47,76.17,3.30,3.47,49150.66,53828.03,54.074693,56.953876,54.118637,56.995342,12.449086,12.445691,10.21,10.59,13.99,14.54
65,100,80,64.63,63.19,3.33,3.80,55957.09,60346.90,52.285290,54.262070,52.324998,54.308582,14.322285,14.243452,10.40,9.74,14.76,13.90
65,100,100,84.67,89.93,3.03,3.22,61085.69,63970.97,46.505116,50.162745,46.531818,50.185313,12.504630,12.446769,11.66,10.59,16.52,15.32
65,100,100,99.41,82.10,2.91,3.42,61938.91,67740.85,42.646030,48.253360,42.685183,48.285590,13.202782,13.203404,12.43,11.82,18.25,17.01
65,100,100,91.27,82.72,3.42,3.14,61384.00,58668.02,50.248363,52.365397,50.277824,52.411578,10.647715,10.644908,12.39,12.33,17.13,16.64
65,100,100,84.19,92.57,2.91,3.19,61714.24,65773.22,49.365494,45.457451,49.400077,45.493909,13.281587,13.223832,12.01,11.52,16.40,16.54
65,100,100,93.90,68.35,3.26,3.09,62119.92,64754.59,44.608405,46.601259,44.647958,46.647945,12.683034,12.666831,14.69,13.89,19.47,18.54
65,100,100,71.76,68.28,2.92,3.63,68937.73,71721.82,47.488062,44.593449,47.523556,44.632434,14.053747,14.005286,13.41,11.97,18.24,18.17
65,100,100,80.77,73.64,3.13,3.41,67361.67,65798.62,42.657122,48.455350,42.699390,48.483205,13.206220,13.217275,11.22,10.83,16.98,16.22
65,100,100,70.34,79.43,2.99,3.31,64749.37,64394.32,47.638634,44.661907,47.674845,44.686139,12.207093,12.159718,13.45,12.33,18.34,18.31
65,100,100,79.73,71.24,3.05,3.13,63902.04,64524.01,51.484390,48.260914,51.521790,48.291770,12.461266,12.588679,12.42,13.94,16.89,18.13
65,100,100,77.50,84.56,3.64,3.40,61335.03,62735.10,48.571660,53.116559,48.591226,53.142912,12.558857,12.562056,13.75,12.48,18.71,17.69
